Date,Browns,Hubbard,Parkers,Cold,WBrSwift
2014-02-22,0.325041667,0.08425,1.418666667,-0.004,0.114375
2014-02-23,0.481,0.114,1.694458333,-0.004,0.2305625
2014-02-24,0.340604167,0.11925,1.518979167,0.0468125,0.211583333
2014-02-25,0.0563125,0.1035,0.600270833,0.111666667,0.058416667
2014-02-26,0.046458333,0.09125,0.291375,0.178270833,-0.004
2014-02-27,0.030854167,0.085416667,0.199166667,0.1518125,-0.004
2014-02-28,0.0245625,0.08425,0.184166667,0.100583333,-0.004
2014-03-01,0.0410625,0.094166667,0.2345,0.0605625,-0.004
2014-03-02,0.118479167,0.114583333,0.9725625,0.15725,0.076979167
2014-03-03,0.1006875,0.1,0.796125,0.174104167,0.037625
2014-03-04,0.050916667,0.093,0.247833333,0.095333333,-0.001666667
2014-03-05,0.1051875,0.107583333,0.705729167,0.118666667,0.050395833
2014-03-06,0.0798125,0.098833333,0.5159375,0.070854167,0.02375
2014-03-07,0.061958333,0.09825,0.5229375,0.0335625,0.028833333
2014-03-08,0.232895833,0.11575,1.655416667,0.10525,0.133583333
2014-03-09,0.423354167,0.129083333,2.1703125,0.231791667,0.231083333
2014-03-10,0.490729167,0.1546875,2.176166667,0.308958333,0.2993125
2014-03-11,0.707958333,0.156895833,3.012208333,0.322166667,0.5150625
2014-03-12,0.648416667,0.10875,2.317958333,0.086208333,0.347541667
2014-03-13,0.123291667,0.077833333,0.389104167,-0.004,0.001229167
2014-03-14,0.169333333,0.092416667,0.488270833,0.072416667,0.02075
2014-03-15,0.7938125,0.156291667,2.075770833,0.265854167,0.352083333
2014-03-16,0.471104167,0.132541667,1.550479167,0.316979167,0.289479167
2014-03-17,0.387104167,0.111,1.0355,0.274541667,0.1143125
2014-03-18,0.515145833,0.110479167,1.127458333,0.185020833,0.128229167
2014-03-19,0.8966875,0.144520833,1.595791667,0.242729167,0.237208333
2014-03-20,0.895770833,0.111645833,1.963395833,0.343666667,0.253145833
2014-03-21,1.0946875,0.118083333,1.776791667,0.4196875,0.3411875
2014-03-22,1.516041667,0.172354167,2.067895833,0.496916667,0.5011875
2014-03-23,1.48775,0.1701875,2.188854167,0.5485,0.680229167
2014-03-24,0.953270833,0.110333333,1.367395833,0.335625,0.194979167
2014-03-25,1.024833333,0.10275,1.41575,0.215708333,0.155875
2014-03-26,1.070770833,0.168291667,1.698,0.232458333,0.351875
2014-03-27,1.0091875,0.158770833,1.6481875,0.1374375,0.3065625
2014-03-28,2.06125,0.38275,2.8915625,0.178666667,0.907854167
2014-03-29,2.352083333,0.345854167,3.002041667,-0.004,0.823479167
2014-03-30,1.331041667,0.10875,1.092833333,-0.004,0.106979167
2014-03-31,1.143479167,0.295208333,0.924375,-0.004,0.187854167
2014-04-01,2.610895833,1.1053125,2.239541667,0.022,0.8819375
2014-04-02,3.751979167,1.661125,2.899229167,0.090666667,1.299104167
2014-04-03,4.670041667,2.1811875,3.606229167,0.213354167,1.847895833
2014-04-04,4.965458333,2.423791667,3.9515625,0.302645833,2.2485625
2014-04-05,4.71125,2.429770833,4.0304375,0.2785,2.373083333
2014-04-06,4.766458333,2.550791667,4.322458333,0.831229167,2.660625
2014-04-07,5.439,3.026791667,4.685145833,1.214375,3.042104167
2014-04-08,6.821541667,3.846041667,5.741583333,0.950270833,3.884291667
2014-04-09,6.941395833,4.464145833,5.885083333,1.548041667,4.0414375
2014-04-10,6.838791667,4.773770833,5.9778125,1.868729167,4.311854167
2014-04-11,8.3546875,6.848541667,7.778583333,2.442145833,6.276770833
2014-04-12,9.953395833,7.775145833,8.719833333,2.865791667,7.0854375
2014-04-13,10.48754167,8.563895833,8.466604167,3.3743125,6.996625
2014-04-14,12.8389375,10.87395833,10.94802083,5.525083333,9.297208333
2014-04-15,12.88952083,10.9569375,11.55504167,5.565020833,10.11129167
2014-04-16,8.296791667,5.385125,7.9656875,2.038145833,6.164791667
2014-04-17,7.561666667,5.2508125,6.9755625,2.1456875,5.389270833
2014-04-18,6.959854167,5.3945,6.511666667,2.334854167,5.153166667
2014-04-19,8.323270833,6.680104167,7.605354167,3.859666667,5.978
2014-04-20,9.0206875,7.583479167,8.22425,4.069270833,6.544083333
2014-04-21,9.762145833,8.447729167,8.920416667,5.036833333,7.241708333
2014-04-22,11.46504167,9.855708333,10.077375,6.265833333,8.259583333
2014-04-23,10.72372917,9.5748125,9.8945625,5.804041667,8.28925
2014-04-24,9.31375,7.735625,8.580083333,4.460468085,7.343255319
2014-04-25,9.9341875,8.119979167,9.123425532,4.891895833,7.556583333
2014-04-26,9.548375,8.476291667,8.8609375,5.340145833,7.651583333
2014-04-27,9.104020833,8.469416667,8.18175,4.89175,7.588291667
2014-04-28,9.626916667,8.737416667,8.8415,5.13975,7.867583333
2014-04-29,9.0990625,8.662916667,8.644395833,5.545166667,7.8048125
2014-04-30,7.5396875,6.462416667,7.057270833,3.908375,6.59725
2014-05-01,8.924791667,7.295354167,7.637875,5.934,7.050708333
2014-05-02,11.10885417,9.570041667,10.00704167,6.694166667,8.794333333
2014-05-03,11.61133333,10.02616667,10.46295833,6.8320625,9.106625
2014-05-04,11.45108333,10.12579167,10.8273125,6.1746875,9.012145833
2014-05-05,10.97885417,10.1675,10.31297917,6.207833333,8.811291667
2014-05-06,11.3308125,9.916416667,10.06264583,6.504541667,8.600583333
2014-05-07,11.6225625,9.71925,10.18420833,6.435125,8.80625
2014-05-08,11.670375,9.836875,10.892,7.892895833,9.4884375
2014-05-09,12.13239583,10.5123125,11.260875,8.7064375,10.137875
2014-05-10,14.4274375,12.98704167,12.8491875,10.41552083,11.75727083
2014-05-11,16.04370833,14.82941667,14.80370833,11.36360417,13.22108333
2014-05-12,16.614125,15.17779167,14.72191667,11.83033333,13.41270833
2014-05-13,16.3585625,15.5449375,13.91291667,11.41585417,12.88995833
2014-05-14,15.15360417,14.49525,12.86014583,11.50683333,12.051375
2014-05-15,16.7283125,15.07120833,15.01077083,12.168875,13.66979167
2014-05-16,16.44458333,15.2609375,14.98102083,12.79852083,13.9865
2014-05-17,16.82672917,14.94904167,15.99104167,11.28522917,14.43522917
2014-05-18,15.611,14.18779167,14.12654167,9.82025,13.17614583
2014-05-19,14.3828125,13.43639583,12.7263125,9.440583333,12.01283333
2014-05-20,15.28435417,14.04283333,13.8443125,10.32464583,12.60827083
2014-05-21,15.86302083,14.75214583,13.91804167,11.0080625,12.8825
2014-05-22,15.43329167,14.61910417,13.55289583,10.73347917,12.51164583
2014-05-23,14.61408333,13.86747917,12.85677083,10.59564583,12.72895833
2014-05-24,14.40272917,13.70516667,12.33,10.6225625,12.41814583
2014-05-25,15.20170833,14.51920833,13.46214583,11.6068125,13.2648125
2014-05-26,15.9641875,15.5776875,14.0873125,12.47089583,13.5314375
2014-05-27,16.75085417,17.34808333,14.47977083,13.38858333,14.18802083
2014-05-28,14.12729167,15.01791667,12.05370833,11.0655,12.08539583
2014-05-29,13.35439583,13.51458333,12.15385417,10.74775,12.05502083
2014-05-30,14.63979167,14.53910417,13.42147917,11.60570833,13.0541875
2014-05-31,14.71564583,14.2461875,13.00854167,10.93439583,12.98420833
2014-06-01,14.61160417,14.57447917,13.351125,11.38316667,13.17935417
2014-06-02,16.57008333,16.02533333,14.76358333,12.810375,14.18322917
2014-06-03,18.40604167,18.04041667,16.27258333,13.968375,15.91683333
2014-06-04,17.97535417,18.83858333,15.90058333,13.66104167,16.09477083
2014-06-05,17.11552083,17.08722917,14.82416667,12.59227083,14.6470625
2014-06-06,16.42552083,16.31314583,14.6854375,12.2733125,14.493
2014-06-07,17.43972917,17.0228125,15.47270833,13.00897917,15.36027083
2014-06-08,18.52897917,17.8934375,16.05254167,13.68152083,16.18377083
2014-06-09,18.457,17.6880625,15.37804167,13.75439583,15.67010417
2014-06-10,18.55925,17.76314583,16.06985417,14.31529167,16.04922917
2014-06-11,17.901625,17.3833125,15.35927083,13.64545833,15.63591667
2014-06-12,16.69814583,15.7423125,14.10083333,12.52291667,14.26375
2014-06-13,16.83404167,15.6743125,14.10370833,12.84014583,14.41825
2014-06-14,17.21064583,16.876,14.55245833,13.10408333,15.3370625
2014-06-15,17.05945833,16.99110417,15.04814583,13.02470833,15.694625
2014-06-16,17.69652083,17.71120833,15.3990625,13.32629167,16.0440625
2014-06-17,19.4128125,19.28404167,16.76897917,14.94841667,17.5656875
2014-06-18,21.19970833,20.32222917,18.06645833,15.53502083,18.96858333
2014-06-19,20.85954167,20.57108333,17.494875,15.638375,18.77179167
2014-06-20,18.40745833,19.0145,15.57997917,13.9534375,17.02341667
2014-06-21,17.013,18.05204167,14.5090625,12.959875,15.9139375
2014-06-22,16.8521875,17.48116667,14.47479167,13.28158333,16.06864583
2014-06-23,17.72739583,17.49664583,14.9991875,13.91458333,16.82166667
2014-06-24,18.5026875,18.41189583,15.65633333,14.63345833,17.75208333
2014-06-25,19.81095833,19.37864583,16.98302083,16.31725,18.92747917
2014-06-26,21.22889583,20.967875,18.37075,15.12633333,19.1751875
2014-06-27,20.18310417,20.9101875,18.155125,14.5738125,18.99420833
2014-06-28,19.87439583,20.26977083,17.27022917,14.61375,18.66879167
2014-06-29,20.04695833,20.34835417,17.5075,15.42625,19.0555
2014-06-30,20.51314583,20.55479167,17.97533333,16.00589583,19.63727083
2014-07-01,21.59008333,21.5288125,18.74422917,17.55475,20.82795833
2014-07-02,22.55352083,22.22047917,19.09166667,18.5001875,21.53614583
2014-07-03,22.72252083,21.77025,19.22891667,17.65922917,20.2381875
2014-07-04,20.46927083,20.08664583,19.070875,15.92375,18.83752083
2014-07-05,19.06177083,18.3459375,18.28104167,14.45441667,17.55158333
2014-07-06,19.70577083,18.687,18.103875,15.20110417,17.8788125
2014-07-07,21.30777083,20.5045,19.07564583,16.33791667,19.36110417
2014-07-08,22.21389583,21.48435417,19.9311875,16.41866667,19.9965625
2014-07-09,22.8294375,21.74675,20.53608333,16.8566875,20.62452083
2014-07-10,21.47464583,20.87833333,19.41445833,16.01364583,19.89358333
2014-07-11,20.59852083,20.23772917,18.4276875,15.18802083,18.88927083
2014-07-12,20.48420833,19.99520833,18.34295833,15.3049375,18.85183333
2014-07-13,21.01947917,20.62445833,18.39054167,16.279125,19.51979167
2014-07-14,21.45522917,20.60264583,19.09245833,17.63135417,20.77054167
2014-07-15,22.07554167,21.40708333,19.21064583,17.71979167,20.33179167
2014-07-16,21.41895833,20.62122917,18.95683333,16.4086875,19.117875
2014-07-17,20.5345,19.62010417,18.31329167,15.16522917,18.57933333
2014-07-18,19.71910417,19.7233125,17.65364583,14.8809375,18.32072917
2014-07-19,18.56554167,18.99854167,16.39510417,14.54122917,17.733125
2014-07-20,18.880875,18.93677083,16.93525,14.94541667,17.94310417
2014-07-21,19.01360417,19.16379167,17.05535417,15.37845833,18.09797917
2014-07-22,20.59175,20.38872917,17.88410417,16.51445833,19.27510417
2014-07-23,22.2246875,22.2710625,19.17995833,18.276625,20.89989583
2014-07-24,21.61052083,21.84314583,19.03025,17.524,20.55097917
2014-07-25,19.90104167,20.12572917,17.32766667,15.95554167,18.6344375
2014-07-26,19.78160417,19.65327083,17.0743125,16.10558333,18.549125
2014-07-27,20.36085417,19.9279375,16.88727083,16.21254167,18.4753125
2014-07-28,20.5120625,20.23204167,17.05308333,16.20372917,18.54175
2014-07-29,19.736875,19.49758333,17.47989583,15.10339583,18.41733333
2014-07-30,18.68166667,18.32766667,16.61254167,14.62704167,17.92185417
2014-07-31,18.39410417,18.41039583,16.10347917,14.27483333,17.41845833
2014-08-01,20.0396875,19.38375,17.3589375,15.18264583,18.77185417
2014-08-02,19.6655625,19.64914583,16.94802083,16.1793125,19.0400625
2014-08-03,18.81825,19.18052083,16.24295833,15.74066667,18.03677083
2014-08-04,19.77639583,19.49835417,17.4353125,16.33,19.0575625
2014-08-05,20.7688125,20.061,18.2746875,16.498125,19.76872917
2014-08-06,20.81658333,20.5154375,18.30891667,16.42341667,19.67672917
2014-08-07,18.80827083,19.04360417,16.4946875,15.14302083,18.1408125
2014-08-08,17.94570833,18.39952083,16.07760417,15.08597917,17.62047917
2014-08-09,18.54495833,18.34791667,16.21910417,15.45214583,18.0255
2014-08-10,19.07966667,18.5754375,16.38820833,15.75716667,18.50058333
2014-08-11,18.8211875,18.660625,16.760625,16.02239583,18.86160417
2014-08-12,18.8449375,18.7576875,16.50420833,15.92791667,18.951
2014-08-13,18.85927083,18.24985417,16.51697917,15.79010417,18.225625
2014-08-14,18.03385417,17.275125,16.8358125,14.65641667,17.09975
2014-08-15,16.85975,16.84045833,15.44927083,13.35302083,16.12785417
2014-08-16,16.97375,16.65416667,15.41725,13.70466667,15.9586875
2014-08-17,17.933125,17.71064583,15.88241667,14.3379375,16.50364583
2014-08-18,17.7005,17.896,15.38083333,14.479625,16.226625
2014-08-19,16.867,17.27010417,14.88179167,13.93204167,15.71770833
2014-08-20,17.37341667,17.32310417,15.30620833,14.1524375,16.4555625
2014-08-21,17.78552083,18.00472917,15.029875,14.77629167,16.827
2014-08-22,17.7530625,17.84470833,15.15441667,14.43770833,16.69914583
2014-08-23,17.6583125,17.662375,15.26510417,14.45216667,17.02654167
2014-08-24,17.0825625,17.22079167,15.27295833,14.19625,16.893375
2014-08-25,18.03014583,18.0124375,15.90472917,15.02783333,17.4625
2014-08-26,19.1963125,18.79797917,16.76191667,15.78327083,18.0414375
2014-08-27,20.05375,19.69504167,17.4995625,16.18775,19.02327083
