"","SiteID","Date","Time","Date.Time","Water.Temp.C","Water.LoggerID","Water.RowID","Flag.Date.Time","Flag.Water.Temp.C","Month","Day","Year","Flag.Gross.Water.Temp.C","Flag.Spike.Water.Temp.C","Flag.RoC.Water.Temp.C","Flag.Flat.Water.Temp.C","Comment.MOD.Date.Time","RAW.Date.Time","Comment.MOD.Water.Temp.C","RAW.Water.Temp.C","ID_Full","ID_Depth","ID_DepthUnits"
"90","Ellis","2018-05-28","08:01:00","2018-05-28 08:01:00",17.106,20312702,90,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 08:01:00",NA,17.106,"Ellis~1.0m","1.0","m"
"91","Ellis","2018-05-28","09:01:00","2018-05-28 09:01:00",16.987,20312702,91,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 09:01:00",NA,16.987,"Ellis~1.0m","1.0","m"
"92","Ellis","2018-05-28","10:01:00","2018-05-28 10:01:00",16.963,20312702,92,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 10:01:00",NA,16.963,"Ellis~1.0m","1.0","m"
"93","Ellis","2018-05-28","11:01:00","2018-05-28 11:01:00",17.011,20312702,93,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 11:01:00",NA,17.011,"Ellis~1.0m","1.0","m"
"94","Ellis","2018-05-28","12:01:00","2018-05-28 12:01:00",17.058,20312702,94,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 12:01:00",NA,17.058,"Ellis~1.0m","1.0","m"
"95","Ellis","2018-05-28","13:01:00","2018-05-28 13:01:00",17.225,20312702,95,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 13:01:00",NA,17.225,"Ellis~1.0m","1.0","m"
"96","Ellis","2018-05-28","14:01:00","2018-05-28 14:01:00",17.249,20312702,96,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 14:01:00",NA,17.249,"Ellis~1.0m","1.0","m"
"97","Ellis","2018-05-28","15:01:00","2018-05-28 15:01:00",17.391,20312702,97,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 15:01:00",NA,17.391,"Ellis~1.0m","1.0","m"
"98","Ellis","2018-05-28","16:01:00","2018-05-28 16:01:00",17.582,20312702,98,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 16:01:00",NA,17.582,"Ellis~1.0m","1.0","m"
"99","Ellis","2018-05-28","17:01:00","2018-05-28 17:01:00",17.724,20312702,99,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 17:01:00",NA,17.724,"Ellis~1.0m","1.0","m"
"100","Ellis","2018-05-28","18:01:00","2018-05-28 18:01:00",17.653,20312702,100,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 18:01:00",NA,17.653,"Ellis~1.0m","1.0","m"
"101","Ellis","2018-05-28","19:01:00","2018-05-28 19:01:00",17.629,20312702,101,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 19:01:00",NA,17.629,"Ellis~1.0m","1.0","m"
"102","Ellis","2018-05-28","20:01:00","2018-05-28 20:01:00",17.605,20312702,102,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 20:01:00",NA,17.605,"Ellis~1.0m","1.0","m"
"103","Ellis","2018-05-28","21:01:00","2018-05-28 21:01:00",17.558,20312702,103,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 21:01:00",NA,17.558,"Ellis~1.0m","1.0","m"
"104","Ellis","2018-05-28","22:01:00","2018-05-28 22:01:00",17.51,20312702,104,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 22:01:00",NA,17.51,"Ellis~1.0m","1.0","m"
"105","Ellis","2018-05-28","23:01:00","2018-05-28 23:01:00",17.463,20312702,105,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 23:01:00",NA,17.463,"Ellis~1.0m","1.0","m"
"106","Ellis","2018-05-29","00:01:00","2018-05-29 00:01:00",17.415,20312702,106,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 00:01:00",NA,17.415,"Ellis~1.0m","1.0","m"
"107","Ellis","2018-05-29","01:01:00","2018-05-29 01:01:00",17.391,20312702,107,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 01:01:00",NA,17.391,"Ellis~1.0m","1.0","m"
"108","Ellis","2018-05-29","02:01:00","2018-05-29 02:01:00",17.344,20312702,108,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 02:01:00",NA,17.344,"Ellis~1.0m","1.0","m"
"109","Ellis","2018-05-29","03:01:00","2018-05-29 03:01:00",17.296,20312702,109,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 03:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"110","Ellis","2018-05-29","04:01:00","2018-05-29 04:01:00",17.296,20312702,110,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 04:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"111","Ellis","2018-05-29","05:01:00","2018-05-29 05:01:00",17.272,20312702,111,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 05:01:00",NA,17.272,"Ellis~1.0m","1.0","m"
